index,Medio_Desordenados,Poco_Desordenados,Muy_Desordenados
197,34837,41785,23927
198,66555,16431,60477
199,32063,277,56510
200,7525,49326,45754
201,23436,278,30356
202,69981,32873,26446
203,30611,27789,40302
204,46967,280,204488
205,62201,1859,201205
206,68555,17297,70674
207,12383,76240,59670
208,48895,282,55529
209,2310,282,45695
210,46924,48013,3754
211,55534,9439,201263
212,50537,45978,41572
213,35709,284,44223
214,967,202551,204027
215,7514,285,4393
216,36814,44357,62076
217,39395,286,202762
218,77977,7420,55153
219,67144,202323,44802
220,17069,291,35575
221,66100,11927,61061
222,203167,292,43606
223,1357,6612,33861
224,54845,293,59044
225,201277,293,66868
226,24324,46181,49350
227,25505,4175,62652
228,66423,295,203280
229,79494,11013,46970
230,60988,49077,34819
231,199718,298,199246
232,10102,299,40799
233,8866,69457,57287
234,1801,67639,51351
235,25212,70873,36964
236,32581,2477,382
237,68278,301,59792
238,10215,302,44698
239,39337,40753,200670
240,33237,21408,38946
241,1337,40282,76595
242,34200,72735,36391
243,18954,304,49822
244,33114,68431,48931
245,43449,198989,1288
246,200109,41420,201864
247,50981,46387,204712
248,43411,59832,202503
249,199310,45994,24282
250,5337,2874,3067
251,38359,309,12355
252,6184,2024,3967
253,45477,1979,55539
254,34127,311,48312
255,41420,311,51373
256,51376,57506,7189
257,66339,11626,61336
258,44168,41088,24682
259,51478,200971,43349
260,68692,29876,58177
261,45748,319,4070
262,204094,201323,202792
263,7274,320,35393
264,61320,35306,69343
265,42032,11302,41188
266,78708,322,65226
267,67370,322,49589
268,200614,82967,199884
269,678,323,10419
270,51110,55690,68717
271,46402,324,69128
272,5480,325,27294
273,29234,65997,36484
274,54793,29163,74384
275,10464,326,40337
276,7603,60111,7617
277,1405,73061,9640
278,36974,18814,9835
279,60220,67448,200752
280,34799,329,60552
281,51295,51901,8329
282,12408,330,69245
283,55098,55607,36119
284,62743,81237,56736
285,74094,331,52256
286,2275,36006,204004
287,54554,57598,68800
288,5442,333,35285
289,45790,68815,39376
290,629,51884,69065
291,49980,334,39966
292,17269,66247,66031
293,33055,335,79741
294,6519,336,1022
295,38073,336,55597
296,6807,337,54445
297,36385,69513,200126
298,32898,65224,70528
299,8443,39106,34922
300,17571,51319,57689
301,35109,339,38032
302,30681,340,12368
303,67292,340,40016
304,5328,343,69683
305,8233,343,201992
306,36609,344,318
307,40945,38590,203768
308,50795,47565,12302
309,60014,345,200310
310,69459,46491,55207
311,16824,203655,9407
312,1290,347,38443
313,9844,347,79754
314,8345,6242,62386
315,9848,8235,201
316,46045,349,31992
317,27491,349,7173
318,4544,238,43852
319,19857,12432,25340
320,44354,351,8358
321,35175,39711,61858
322,21010,352,36769
323,38327,19171,57532
324,7455,4319,35250
325,77419,353,35465
326,62697,203259,45252
327,43559,49246,48151
328,45475,355,201419
329,45681,355,55465
330,44548,356,60301
331,62040,2941,201420
332,38718,357,39044
333,6669,357,200742
334,204661,358,74037
335,39299,849,7490
336,46507,359,54811
337,76504,34011,44970
338,47043,360,49563
339,35365,35954,47802
340,199649,40156,32824
341,4244,361,42306
342,54138,21212,4314
343,2639,362,21010
344,57732,363,1082
345,10221,48892,54399
346,33475,32125,9910
347,16569,364,57866
348,4272,365,199961
349,50013,43825,54582
350,49726,10768,34387
351,6989,35346,29736
352,73874,5317,50680
353,51526,367,34643
354,66740,368,68836
355,3192,368,16531
356,198850,369,205044
357,205248,74499,34491
358,26986,370,70441
359,62657,198818,35887
360,43682,372,18233
361,51168,60275,55260
362,39129,3866,41194
363,10240,56991,27406
364,44074,43951,22060
365,57764,65482,48259
366,81434,6776,16336
367,32680,74095,19300
368,60369,376,48651
369,19445,376,201803
370,52149,1078,48251
371,4020,377,34054
372,45958,83111,29472
373,5602,378,49222
374,50409,1514,8463
375,7533,36866,62547
376,25504,79106,30203
377,22709,47265,43521
378,40161,381,74030
379,61603,33697,30746
380,61964,9890,60594
381,35619,12247,58574
382,2882,11008,66997
383,50851,203682,48812
384,7178,384,50937
385,6885,384,56073
386,34406,27897,940
387,55531,204599,82769
388,36070,386,39153
389,47869,386,63229
390,204039,201329,58198
391,62390,387,48295
392,4977,2564,539
393,50642,389,5541
394,77304,69527,5528
395,201004,33343,46572
396,40337,391,69386
397,11212,59769,7375
398,40679,392,26920
399,204469,35375,20058
400,39218,394,33011
401,202386,3917,203607
402,199067,74878,50685
403,47406,40311,51528
404,45562,8792,4492
405,49199,396,200191
406,60188,397,35586
407,8867,43531,77408
408,69964,69652,6119
409,50193,28170,1371
410,28972,399,199883
411,49694,399,75851
412,38482,34054,198948
413,44313,3081,59787
414,56088,401,27896
415,25908,401,68088
416,36580,22043,54257
417,49314,402,50383
418,3662,403,45887
419,21815,58069,40073
420,468,25333,3716
421,10694,51159,6679
422,46786,57172,50218
423,61826,406,30669
424,204563,407,65758
425,45779,46476,50617
426,34674,200323,48995
427,200599,408,35940
428,11140,204884,41559
429,77430,32680,2169
430,19854,410,41022
431,3040,410,68098
432,43522,38047,50048
433,49505,61117,62678
434,1888,412,58787
435,200894,204759,59914
436,67613,413,40018
437,74486,204481,203481
438,5510,414,199047
439,11245,414,66843
440,198705,201029,41442
441,60743,76221,5343
442,2260,47527,65807
443,11779,47735,203110
444,41668,80033,200397
445,59097,50921,35359
446,36723,59629,61444
447,38966,418,58053
448,51750,419,47253
449,55364,11331,35688
450,12086,4527,10093
451,6470,420,4232
452,38773,421,39430
453,3547,421,439
454,34102,427,8504
455,61446,58392,45312
456,201898,48953,40124
457,198702,423,46144
458,36646,49944,46056
459,54240,1214,68301
460,17367,426,204140
461,930,36833,75844
462,2172,38799,41876
463,51893,422,33195
464,44722,201474,36417
465,47859,204518,10532
466,44514,429,79082
467,10182,36601,49557
468,54889,60085,58744
469,27628,60599,51717
470,78112,41661,8369
471,7552,46579,75953
472,5481,432,77421
473,43715,33299,65454
474,38061,3114,42239
475,48419,433,35431
476,45288,204564,46327
477,75648,33773,50693
478,5035,67059,49524
479,40041,59624,62923
480,8481,35177,67234
481,55239,48298,57162
482,29369,32027,60480
483,10739,437,74682
484,62199,438,3391
485,75081,60121,45954
486,34208,70871,3300
487,54463,76042,200687
488,45220,40362,81377
489,200231,440,70976
490,49146,202236,67102
491,7199,60662,11204
492,10659,35312,199620
493,69457,5091,52163
494,72884,67519,57871
495,20832,443,34691
496,48028,61955,3842
497,10928,65948,62636
498,204591,59376,201794
499,24631,445,46823
500,51172,446,59181
501,10404,446,62920
502,203317,447,69672
503,44408,60212,891
504,45355,48354,41957
505,11417,448,48025
506,10543,65260,61179
507,10133,449,200628
508,201426,68201,54625
509,464,450,49173
510,36588,50409,55564
511,49078,32074,67648
512,6963,5593,50935
513,67225,3392,58305
514,39001,453,12416
515,1411,453,204364
516,40611,49095,48368
517,1472,454,81259
518,59759,77106,60120
519,35359,455,4675
520,48058,35953,49418
521,46115,456,67084
522,61071,5339,29571
523,28249,3854,57133
524,21838,3770,4115
525,27280,40336,34814
526,42314,34399,58405
527,49635,204471,199991
528,59734,10695,60279
529,1676,460,70873
530,203035,6430,35974
531,62297,10184,1273
532,47464,56611,50171
533,18829,32618,39067
534,57818,3637,17645
535,198734,464,54922
536,74786,465,46130
537,6739,35563,51937
538,641,10005,50683
539,3528,54150,11252
540,8462,10390,45794
541,1758,6127,684
542,8562,39714,465
543,61665,19856,44673
544,12134,470,62034
545,77538,49805,4946
546,9122,199649,792
547,50380,73081,41357
548,54333,47188,2509
549,69831,67106,68311
550,39485,473,66360
551,77309,473,6350
552,198906,35404,49490
553,202961,70513,50945
554,33995,82473,42030
555,50060,475,47508
556,8267,476,44558
557,202692,33241,7050
558,6906,477,50221
559,36582,33970,44552
560,65819,55088,56007
561,854,478,49280
562,45957,664,39227
563,21437,61960,4205
564,137806,480,66248
565,12015,480,2597
566,38441,34965,584
567,56834,50117,39919
568,24325,482,68155
569,66711,67550,61986
570,21385,71203,50654
571,24775,60206,200046
572,46356,34026,3872
573,35551,32419,202392
574,63053,489,41261
575,8309,489,2224
576,41025,34682,59203
577,200607,490,49579
578,43417,6406,203233
579,66431,39866,205067
580,18424,492,2919
581,61599,33326,30701
582,40550,47550,52147
583,47054,493,9401
584,46468,200930,60349
585,200802,62314,38119
586,2651,39555,5582
587,4576,203563,201219
588,39489,10811,46280
589,39136,202743,422
590,35347,501,80924
591,67673,40433,203574
592,77603,502,202472
593,35914,34160,57536
594,58997,26847,6146
595,431,203493,20408
596,199784,504,34105
597,57131,62549,68690
598,47788,505,5547
599,55519,19938,10151
600,9525,10520,62261
601,2717,36857,39348
602,60822,45798,61305
603,18711,507,57077
604,48345,33188,55550
605,39447,510,27954
606,46306,511,55107
607,51550,8727,4652
608,203372,512,55548
609,1096,25532,66577
610,61045,203144,6749
611,11718,74502,4075
612,39143,200758,46299
613,39634,67224,63472
614,8248,515,70262
615,51786,50330,199902
616,750,46652,1367
617,67418,78772,201689
618,16912,57957,56606
619,34729,32935,60484
620,27994,518,199417
621,74960,48458,55891
622,44589,38120,32751
623,49081,68396,35089
624,204243,203573,205135
625,44777,520,36100
626,76573,49476,63288
627,77256,521,82712
628,10601,522,47639
629,19381,201273,35517
630,62358,523,34508
631,204447,47875,2445
632,815,524,36843
633,54365,524,45676
634,204217,11649,19024
635,24348,1930,25819
636,4578,62291,45168
637,70630,8259,59684
638,55742,8988,9857
639,20359,527,203458
640,48939,528,39082
641,38786,200209,50157
642,38596,529,201413
643,28884,41961,51537
644,60776,54929,38444
645,44789,203098,6831
646,10539,532,4099
647,36407,81251,40659
648,69747,533,47098
649,42321,3578,44389
650,40734,534,60343
651,32579,534,703
652,44255,8439,63103
653,70199,535,51235
654,74849,9100,48407
655,60446,203507,9193
656,9050,537,51062
657,36029,537,9496
658,34655,39102,49157
659,77758,55032,200097
660,68594,539,55501
661,34911,8089,50993
662,19295,540,40805
663,57274,55654,3685
664,204421,541,56748
665,46361,20056,199136
666,57369,232,21214
667,39428,77676,48272
668,52243,11584,38812
669,45497,9000,201313
670,6371,544,204153
671,25957,41846,63423
672,20719,545,34196
673,34510,34467,58996
674,48969,4958,12270
675,48346,546,40718
676,39056,40386,11863
677,6187,547,4952
678,5178,201581,200555
679,5616,55282,51022
680,35712,20301,65969
681,18961,69335,199576
682,52166,67124,29862
683,68689,550,51891
684,59489,49526,3495
685,26786,551,19658
686,55556,8777,40026
687,370,39119,47185
688,40377,553,70906
689,9631,553,41269
690,1391,3591,69883
691,200327,75756,9570
692,203969,555,39057
693,201554,59695,33131
694,68139,33231,32951
695,12372,40724,69544
696,202846,60815,43859
697,42090,47417,54385
698,56669,10744,49288
699,4447,558,11880
700,58447,52090,63428
701,66050,5497,32037
702,54602,56465,42284
703,56893,39085,6223
704,69917,561,2717
705,33284,57269,36757
706,9877,562,2504
707,34788,2437,45127
708,55530,80049,39751
709,67164,563,33160
710,62459,3350,12129
711,8704,564,67720
712,511,32133,47862
713,39950,565,47257
714,79976,566,2114
715,338,566,56067
716,36172,63512,74726
717,11993,2375,56539
718,70183,35871,8970
719,69325,568,41141
720,199582,32505,33220
721,5248,569,9078
722,35190,570,9334
723,43857,35814,26903
724,199628,571,6397
725,44943,2986,21394
726,49284,4391,202727
727,42253,26493,40775
728,34580,68149,1064
729,8815,65437,9441
730,20113,33655,9682
731,12422,49078,44926
732,56959,12152,58656
733,39115,34651,46359
734,6634,577,203422
735,33205,577,46420
736,27859,1227,35604
737,68411,46804,50996
738,3751,579,51942
739,16773,579,66217
740,40581,580,5110
741,204171,73155,68661
742,32912,35467,9667
743,41539,581,77922
744,46084,35887,4425
745,201036,59840,55336
746,81270,583,1051
747,201376,51294,45150
748,1090,41471,76049
749,3190,202728,44511
750,199469,39270,60315
751,76003,47466,44864
752,4051,49743,51496
753,8150,586,59329
754,11349,65529,66827
755,38640,46840,44528
756,11996,57388,200583
757,47767,18866,40868
758,43753,589,60020
759,33181,589,38483
760,61708,71110,38917
761,54792,46001,51846
762,1359,591,33607
763,43459,591,1394
764,11779,592,7373
765,47648,44627,40872
766,8117,66827,44169
767,4307,593,9404
768,58684,33668,67646
769,34073,62598,26043
770,20516,595,75588
771,16287,65606,202245
772,11662,40593,199226
773,200774,41240,45059
774,51384,46189,204158
775,199517,36779,63103
776,20608,598,25890
777,198855,47671,7233
778,11027,599,6302
779,11312,599,40905
780,79734,36682,65950
781,77330,600,36454
782,55335,49204,50046
783,204633,601,69329
784,30261,602,66040
785,7378,10052,62917
786,26167,66833,63133
787,33968,56939,9961
788,57993,604,204725
789,65822,604,70576
790,57487,29152,56454
791,28123,203851,62831
792,38369,607,137797
793,199734,46653,33784
794,27262,82795,51251
795,47634,608,30399
796,48266,199249,202094
797,33022,20374,34997
798,68187,39394,5272
799,56823,41516,62914
800,76520,17171,78182
801,66695,21415,62662
802,12160,612,199426
803,8201,26757,46199
804,30707,55411,11722
805,40460,74899,33960
806,72634,614,43299
807,81148,614,60601
808,54990,615,67931
809,22873,615,26886
810,8258,36003,75633
811,42233,11261,49968
812,2293,617,50790
813,54103,48212,58364
814,33224,618,41173
815,47203,618,62678
816,10879,50535,5537
817,46788,619,12187
818,35840,620,35652
819,1091,62579,6055
820,201983,40871,2926
821,31996,63436,67981
822,843,622,8172
823,36656,75759,47161
824,34404,51253,82957
825,11845,623,65281
826,36497,74778,62984
827,76579,624,43492
828,66295,9951,59851
829,59368,625,47218
830,5346,62822,51991
831,9253,62008,66736
832,16609,60551,54429
833,62757,627,608
834,10960,81212,12358
835,50508,10011,5260
836,45189,629,54599
837,199041,629,51091
838,66235,630,199311
839,32233,44625,46403
840,62914,632,2751
841,45708,2456,45268
842,9508,56322,8351
843,47428,47710,10769
844,3399,635,45384
845,200493,635,44342
846,79055,48836,69908
847,8794,40292,199159
848,59717,637,204968
849,41047,637,83068
850,3304,50911,47650
851,51143,44434,6818
852,32218,639,203608
853,10770,639,23990
854,66935,204387,62030
855,11122,204728,18867
856,34916,200634,20711
857,17099,17879,23131
858,49685,63508,79504
859,49793,54394,6677
860,26237,645,1095
861,22106,25407,33626
862,70567,646,55172
863,49336,47610,75864
864,51451,647,27905
865,46283,29521,10101
866,35646,41754,32014
867,62498,41966,65335
868,56662,7567,71149
869,50536,649,44007
870,67396,650,8807
871,199076,49169,38077
872,67977,651,56856
873,30480,63079,6991
874,7050,58548,1257
875,57813,4031,11356
876,8985,2333,3356
877,8598,47013,19728
878,34806,656,203886
879,67265,6957,82497
880,65662,77586,35289
881,24567,657,6309
882,200691,658,39556
883,597,658,7292
884,35908,8219,34652
885,35735,25126,5624
886,4131,389,70088
887,68870,662,33316
888,39085,54794,50746
889,80016,54631,47840
890,38525,221,39559
891,30755,47709,44920
892,41461,665,16303
893,199635,68553,35302
894,62264,54855,8570
895,67627,666,4322
896,35699,667,3521
897,10984,78806,44519
898,40921,201637,34433
899,3762,51893,203349
900,65563,65819,8853
901,27100,8078,57048
902,54727,673,39116
903,11740,204810,12404
904,51139,674,55325
905,4036,10677,3578
906,2699,78792,8696
907,204468,675,3464
908,203899,10329,66562
909,7123,34666,4995
910,3946,2552,66405
911,5194,677,25084
912,78438,33176,7217
913,203803,49445,49033
914,10323,44442,58014
915,202753,32697,6097
916,58879,38344,199998
917,19603,680,51079
918,200710,44427,11835
919,62562,51229,44322
920,41740,78693,2653
921,33070,43856,47790
922,5507,48567,205286
923,39260,683,38856
924,4373,40918,198942
925,16391,684,202164
926,6818,63294,46937
927,47530,10941,201796
928,56732,58656,202819
929,30367,58794,51335
930,48714,52110,68625
931,51330,687,2861
932,69632,68610,25776
933,35148,688,36108
934,70529,32436,10397
935,41395,46677,173
936,201698,691,34378
937,70879,7218,11628
938,67629,61264,55718
939,65747,692,40464
940,3945,59975,203359
941,51694,693,3191
942,200893,50249,45869
943,43478,73683,202395
944,33964,2223,60846
945,67959,61452,36664
946,8711,696,46884
947,68061,55150,35369
948,33418,199802,59783
949,77817,58612,11144
950,201525,3477,204583
951,35783,10839,78387
952,45521,32801,80002
953,51096,43330,49790
954,9321,39038,39834
955,6927,701,58552
956,56444,36071,61315
957,3240,702,35514
958,3254,34454,10878
959,54329,66478,67505
960,76112,26372,16893
961,10337,704,38108
962,38750,7367,3768
963,40026,12107,35177
964,204926,706,6525
965,81390,41076,60998
966,50925,202870,6014
967,41794,707,44255
968,202122,40219,69678
969,199159,708,16431
970,10235,710,51907
971,47358,710,51526
972,45631,203128,44293
973,38276,42242,34734
974,56120,712,8911
975,3714,54919,66924
976,203594,11833,2895
977,26778,60305,50316
978,66681,714,3639
979,47153,714,56445
980,73875,69221,54276
981,44513,50960,50993
982,56594,202865,205265
983,38263,720,72988
984,19024,11675,81469
985,59774,19723,202236
986,199158,722,40585
987,48516,722,10330
988,40146,723,17220
989,1979,723,48107
990,40222,18023,32318
991,44647,35748,57372
992,6914,4958,11708
993,4122,68616,56989
994,65293,32790,8860
995,57477,55115,205120
996,33403,9786,50897
997,7597,6785,204384
998,200866,728,203534
999,71145,22854,32450
1000,41302,729,60666
1001,205243,729,11855
1002,1175,69205,11316
1003,32957,2134,44817
1004,2905,62649,51330
1005,204210,731,63359
1006,6908,732,204739
1007,199182,732,49244
1008,45149,733,32711
1009,35364,65604,36131
1010,34793,7295,43944
1011,4532,735,205191
1012,35751,736,12246
1013,201264,205211,38546
1014,199664,47025,61482
1015,32022,33422,7507
1016,60203,50431,46492
1017,6493,10438,62451
1018,40418,56694,201131
1019,55789,10436,200132
1020,22037,199817,60326
1021,49803,9888,6538
1022,46674,741,57422
1023,45354,201741,54664
1024,43626,742,6400
1025,43462,49263,51444
1026,57045,25419,44906
1027,9869,743,2903
1028,67626,2747,23582
1029,43925,47448,204289
1030,43962,204198,44149
1031,46061,42287,45042
1032,38235,54300,54356
1033,10851,19526,8814
1034,46458,69214,201676
1035,8543,748,68851
1036,45128,19317,60824
1037,21857,749,11737
1038,32538,51400,5170
1039,42326,39644,33781
1040,200642,56124,68010
1041,78363,751,49815
1042,61752,204402,34432
1043,7399,200770,10038
1044,40092,67063,42260
1045,33481,203196,33602
1046,58639,55631,431
1047,40893,754,62644
1048,9722,43857,48190
1049,60254,59432,45136
1050,199938,756,61823
1051,35737,50732,203193
1052,67786,69180,68938
1053,199177,757,44302
1054,60640,758,54770
1055,51912,758,5089
1056,57388,11734,11077
1057,46850,52170,50290
1058,63347,761,27950
1059,44057,45144,11413
1060,58218,762,34019
1061,63143,61507,39052
1062,32705,763,51714
1063,5227,763,12365
1064,199559,30306,51187
1065,46033,41082,83154
1066,34673,70618,55669
1067,11902,18972,38733
1068,44946,767,55032
1069,62333,59034,51440
1070,62319,202178,12356
1071,48180,768,69643
1072,35738,61190,24043
1073,8100,68838,9631
1074,8146,770,35921
1075,11247,770,61167
1076,44574,771,198957
1077,50076,771,61238
1078,6577,772,47800
1079,46358,772,38678
1080,199191,773,6735
1081,35687,773,60791
1082,65211,34378,23500
1083,65868,57669,69679
1084,47996,66638,10300
1085,62430,61060,20497
1086,33142,44413,12256
1087,49936,776,32698
1088,10699,201169,8936
1089,7212,49703,77800
1090,23640,33061,44482
1091,47015,778,32455
1092,2454,2960,61776
1093,10064,198719,36656
1094,40131,61218,2880
1095,9475,59282,34723
1096,12188,49022,43593
1097,7537,72777,36392
1098,46275,1991,59240
1099,8437,784,63294
1100,47618,68864,12304
1101,49123,265,56277
1102,45111,83072,34793
1103,47586,200746,199695
1104,36333,2878,18145
1105,2841,792,11700
1106,11818,61476,39727
1107,44180,796,41001
1108,201943,797,199230
1109,48605,49644,39492
1110,40970,3548,67019
1111,45765,76201,201008
1112,63187,9527,32086
1113,38302,60882,49566
1114,51119,77424,4253
1115,202168,800,202529
1116,34203,5651,10532
1117,48697,54559,57959
1118,46307,45113,43313
1119,42018,5530,44575
1120,2977,22160,8578
1121,5076,38387,33284
1122,8582,65775,57321
1123,2036,200123,59704
1124,65675,26406,10401
1125,18033,806,201230
1126,49172,807,9824
1127,6058,18119,42296
1128,49931,28829,23483
1129,16605,199312,67401
1130,12029,809,68570
1131,202808,1066,2817
1132,199823,10622,56535
1133,47389,810,75720
1134,9010,811,1059
1135,201407,60497,47670
1136,47127,812,70190
1137,41511,201388,77749
1138,65604,813,16323
1139,55300,66779,59790
1140,55888,49415,77964
1141,38115,45805,3205
1142,57371,40486,200760
1143,33678,202158,34418
1144,200056,816,51648
1145,198826,61047,45629
1146,49473,38857,34478
1147,59824,67697,69928
1148,27930,818,204595
1149,11108,67549,49202
1150,1745,67769,36047
1151,41295,47281,44038
1152,72749,820,10247
1153,70375,820,199215
1154,47791,25290,55663
1155,58203,8116,35773
1156,68509,822,9541
1157,60435,19692,35356
1158,41511,823,43403
1159,22619,36375,49967
1160,59529,68556,8336
1161,10523,35846,78496
1162,54125,825,50619
1163,39030,825,3370
1164,1143,204981,57938
1165,9813,826,25976
1166,24755,1710,9423
1167,30350,827,46617
1168,41609,828,33469
1169,46532,9669,35578
1170,3733,25985,48575
1171,11333,49238,204210
1172,30551,33262,45038
1173,43371,70219,203765
1174,16296,40497,2961
1175,447,5645,36610
1176,204544,832,44621
1177,51909,12077,203180
1178,67871,40947,59925
1179,50929,12076,200290
1180,46526,79361,61136
1181,59321,834,51639
1182,203095,835,50508
1183,59835,57143,198982
1184,25891,20957,201384
1185,38461,836,63404
1186,49985,837,24371
1187,34451,57672,77634
1188,8165,838,9389
1189,26369,838,32289
1190,45848,55845,46032
1191,52195,839,67104
1192,65904,200297,200092
1193,58713,840,10960
1194,199044,841,34133
1195,62913,35511,1064
1196,55434,842,80050
1197,51443,56386,4273
1198,203998,3508,199318
1199,35244,843,36623
1200,60148,844,47796
1201,198929,2221,68637
1202,55016,33186,39117
1203,67401,845,63081
1204,54387,846,4688
1205,44302,54845,56043
1206,66526,10127,34175
1207,61441,847,74453
1208,4942,16246,5248
1209,60461,6361,203730
1210,43907,36534,46050
1211,55655,7104,59334
1212,39099,850,5319
1213,60205,69203,18129
1214,10191,50780,66349
1215,45912,851,201947
1216,3746,852,11874
1217,56274,59412,201966
1218,58798,204105,49922
1219,4632,853,59696
1220,6416,46053,35283
1221,33188,854,34247
1222,29971,3923,204002
1223,55728,41486,27366
1224,49165,9246,9762
1225,58863,28730,45996
1226,43591,29969,61244
1227,69193,67208,200736
1228,10314,205139,2596
1229,28421,858,9104
1230,32217,40173,67651
1231,4947,860,59516
1232,33593,38737,81279
1233,6531,861,17720
1234,62891,862,61220
1235,17696,862,4588
1236,54115,80008,23843
1237,60921,199528,5561
1238,55414,864,32679
1239,35929,66635,5616
1240,7056,865,40955
1241,47976,200385,34725
1242,203321,34147,10510
1243,9354,55422,5121
1244,79676,867,12415
1245,68522,199248,39119
1246,48805,27090,62592
1247,5390,868,202451
1248,63302,869,470
1249,49285,68778,65231
1250,71086,870,34003
1251,50499,870,47326
1252,50268,871,199026
1253,49671,871,201568
1254,54353,51641,7043
1255,36580,75762,57699
1256,56078,52037,205246
1257,67133,873,11148
1258,70505,874,44387
1259,3644,874,55864
1260,35377,875,51489
1261,204882,875,55438
1262,54516,876,46949
1263,69975,40546,201923
1264,58812,877,69098
1265,18821,18766,32542
1266,60864,204910,36625
1267,2829,35560,8986
1268,40832,33744,54853
1269,49109,55455,40461
1270,36227,765,50232
1271,6538,39313,34303
1272,66886,35350,201828
1273,60669,32438,45001
1274,65679,56333,38560
1275,4570,662,57805
1276,56050,894,57470
1277,940,204690,33611
1278,203731,3804,594
1279,49410,54970,18016
1280,77942,896,48314
1281,51666,57119,41818
1282,6309,55216,201867
1283,12361,66289,25921
1284,39430,898,49753
1285,5536,898,54123
1286,199740,62708,2712
1287,32206,41847,49950
